id,url,summary,connectivity,bwDown,bwUp,latency,completed,is-on-https,viewport,first-contentful-paint-score,first-contentful-paint-numericValue,largest-contentful-paint-score,largest-contentful-paint-numericValue,first-meaningful-paint-score,first-meaningful-paint-numericValue,speed-index-score,speed-index-numericValue,tbt-score,tbt-numericValue,max-potential-fid-score,max-potential-fid-numericValue,cls-score,cls-numericValue,server-response-score,server-response-numericValue,tti-score,tti-numericValue,content-width-score,image-aspect-ratio-score,bootup-time-score,bootup-time-numericValue,network-server-latency-numericValue,color-contrast,heading-order,render-blocking-resources-score,render-blocking-resources-numericValue,numRequests,numScripts,numStylesheets,numFonts,numTasks,numTasksOver10ms,numTasksOver25ms,numTasksOver50ms,numTasksOver100ms,numTasksOver500ms,rtt,totalByteWeight,totalTaskTime,mainDocumentTransferSize,urlObj,hostname,pathname
230831_AiDcW8_DDX,https://vilda.alaska.edu/digital/collection/cdmg21/id/14252/rec/1,https://www.webpagetest.org/results.php?test=230831_AiDcW8_DDX,3G,1600,768,300,1693513337,1,1,0.02,6788.903,0.01,9089.314,0.04,8186.497,0.21,8089,0.54,538.7260000000015,0.35,303.538,0.55,0.22793485158318255,1,318.1550000000001,0.41,8139.64,1,1,0.7,2278.6619999999994,217.25300000000001,1,1,0.42,1242,31,5,9,1,872,37,21,12,5,1,153.059,859207,3261.5830000000074,20514,https://vilda.alaska.edu/digital/collection/cdmg21/id/14252/rec/1,vilda.alaska.edu,/digital/collection/cdmg21/id/14252/rec/1
230831_AiDcXE_DCX,https://vilda.alaska.edu/digital/about,https://www.webpagetest.org/results.php?test=230831_AiDcXE_DCX,3G,1600,768,300,1693513323,1,1,0.02,6668.818,0.08,6668.818,0.11,6668.818,0.41,6320,0.89,208.71299999618532,0.54,236.868,1,0.00009908839420896647,1,201.14,0.48,7473.550999996185,1,1,0.8,1777.31,219.35100000000006,1,1,0.27,2206,22,5,6,1,728,26,14,10,4,1,152.99300000000002,777113,2544.5970000000016,12017,https://vilda.alaska.edu/digital/about,vilda.alaska.edu,/digital/about
230831_BiDc0T_DM0,https://vilda.alaska.edu/digital/search/searchterm/Inupiaq,https://www.webpagetest.org/results.php?test=230831_BiDc0T_DM0,3G,1600,768,300,1693513335,1,1,0.02,6472.381,0.01,8865.056,0.04,8023.785,0.33,6964,0.14,1494.299000000001,0.04,598.766,0.93,0.08440205139477973,1,199.6300000000001,0.37,8610.541,1,1,0.58,2946.6189999999983,189.267,1,0,0.19,3174,43,5,6,1,1082,63,28,15,10,2,172.793,1208429,5083.974000000008,12017,https://vilda.alaska.edu/digital/search/searchterm/Inupiaq,vilda.alaska.edu,/digital/search/searchterm/Inupiaq
230831_BiDcAN_DKV,https://vilda.alaska.edu/digital/collection/cdmg21/id/6532/rec/2,https://www.webpagetest.org/results.php?test=230831_BiDcAN_DKV,3G,1600,768,300,1693513331,1,1,0.02,6771.308,0.01,9208.094,0.03,8410.27,0.21,8126,0.55,529.4269999999979,0.39,287.694,0.58,0.21410252463391793,1,330.69299999999987,0.38,8443.741,1,1,0.72,2208.7189999999996,281.655,1,1,0.35,1564,31,5,9,1,911,39,24,15,5,1,152.686,878768,3279.9600000000055,20398,https://vilda.alaska.edu/digital/collection/cdmg21/id/6532/rec/2,vilda.alaska.edu,/digital/collection/cdmg21/id/6532/rec/2
230831_BiDcSZ_DKW,https://vilda.alaska.edu/,https://www.webpagetest.org/results.php?test=230831_BiDcSZ_DKW,3G,1600,768,300,1693513328,1,1,0.02,6721.486,0.05,7154.289,0.1,6721.486,0.35,6782,0.59,489.5070000000005,0.28,332.417,0.84,0.11982569716849466,1,197.60400000000004,0.45,7744.059,1,1,0.79,1840.0069999999992,220.59899999999996,1,0,0.18,3378,35,5,6,1,979,34,18,13,5,1,172.65200000000002,886119,2893.927999999997,11897,https://vilda.alaska.edu/,vilda.alaska.edu,/
230831_AiDcNA_DZX,https://voicesoftheland.org/digital-heritage/autumns-first-day-epl-0,https://www.webpagetest.org/results.php?test=230831_AiDcNA_DZX,3G,1600,768,300,1693516356,1,1,0.33,3558.989,0.62,3558.989,0.6,3558.989,0.88,3479,0.23,1112.159999999998,0.32,314.495,1,0.003431814578155914,1,161.738,0.25,10270.394,1,1,0.75,2047.839,641.8880999999999,0,1,0,37823,41,16,10,2,1507,43,25,19,10,0,0,1041473,3807.591999999999,7215,https://voicesoftheland.org/digital-heritage/autumns-first-day-epl-0,voicesoftheland.org,/digital-heritage/autumns-first-day-epl-0
230831_AiDcPZ_E0F,https://voicesoftheland.org/collections?search_api_views_fulltext=elder,https://www.webpagetest.org/results.php?test=230831_AiDcPZ_E0F,3G,1600,768,300,1693516422,1,1,0.44,3171.85,0.73,3171.85,0.7,3171.85,0.92,3219,0.99,71.71000000000049,0.85,144.748,1,0.013721358138227904,1,207.48000000000002,0.82,4555.272,1,1,1,345.5389999999999,548.0978,1,1,0,35048,29,12,9,1,866,20,9,7,3,0,0.0722,1371323,1533.1009999999999,7875,https://voicesoftheland.org/collections?search_api_views_fulltext=elder,voicesoftheland.org,/collections
230831_BiDc67_E7R,https://voicesoftheland.org/,https://www.webpagetest.org/results.php?test=230831_BiDc67_E7R,3G,1600,768,300,1693516564,1,1,0,15530.618,0,15530.618,0,15530.618,0,21666,0.08,1961.3959999961862,0,1924.876,0.94,0.07974402026194065,1,172.05700000000002,0.03,18102.511999996186,1,1,0.34,4824.446999999999,1251.2889999999998,1,1,0,43394,64,14,10,1,4703,143,71,15,10,2,0.1847,8390878,12364.573999999719,1600928,https://voicesoftheland.org/,voicesoftheland.org,/
230831_AiDc2R_DDD,https://webcat.library.ubc.ca/vwebv/holdingsInfo?searchId=165400&recCount=10&recPointer=2&bibId=8137960,https://www.webpagetest.org/results.php?test=230831_AiDc2R_DDD,3G,1600,768,300,1693513329,1,0,0.37,3388.75,0.25,5090.337,0.28,5090.337,0.62,5094,0.31,896.7520000000022,0.55,233.281,1,0.0006056419910815444,0,1087.101,0.45,7772.885000003815,0,1,0.86,1481.7909999999993,333.06499999999994,0,1,0.15,4032,77,27,19,0,1319,40,19,16,7,0,167.27400000000003,567776,2862.0650000000046,8982,https://webcat.library.ubc.ca/vwebv/holdingsInfo?searchId=165400&recCount=10&recPointer=2&bibId=8137960,webcat.library.ubc.ca,/vwebv/holdingsInfo
230831_BiDc34_DW2,https://webcat.library.ubc.ca/vwebv/holdingsInfo?searchId=165387&recCount=10&recPointer=2&bibId=9099795,https://www.webpagetest.org/results.php?test=230831_BiDc34_DW2,3G,1600,768,300,1693515173,1,0,0.33,3547.798,0.16,5738.89,0.22,5528.007,0.54,5558,0.21,1166.6349999999993,0.43,271.853,1,0.0014020539874257949,0,1132.9180000000001,0.41,8186.549,0,1,0.8,1802.7509999999997,350.41399999999993,0,1,0.09,6205,79,27,19,0,1312,51,25,17,9,0,153.958,566824,3514.636000000009,8125,https://webcat.library.ubc.ca/vwebv/holdingsInfo?searchId=165387&recCount=10&recPointer=2&bibId=9099795,webcat.library.ubc.ca,/vwebv/holdingsInfo
230831_BiDcZ9_DMS,https://webcat.library.ubc.ca/vwebv/search?searchArg=Okanagan+Nation+Alliance&searchCode=GKEY^*&searchType=1&recCount=10&limitTo=LOCA%3DXwi7xwa+Library,https://www.webpagetest.org/results.php?test=230831_BiDcZ9_DMS,3G,1600,768,300,1693513337,1,0,0.18,4309.257,0.11,6188.131,0.14,6188.131,0.4,6382,0.22,1161.7109999999975,0.36,297.721,1,0.011416658662230886,0,1876.6020000000003,0.33,9076.318,0,1,0.85,1528.1559999999995,155.72899999999998,0,0,0.12,4949,80,25,18,0,1438,42,23,15,9,0,167.61599999999999,563354,3379.646000000009,11991,https://webcat.library.ubc.ca/vwebv/search?searchArg=Okanagan+Nation+Alliance&searchCode=GKEY^*&searchType=1&recCount=10&limitTo=LOCA%3DXwi7xwa+Library,webcat.library.ubc.ca,/vwebv/search
230831_AiDc8P_DDG,https://www.archives.gov/research/native-americans,https://www.webpagetest.org/results.php?test=230831_AiDc8P_DDG,3G,1600,768,300,1693513343,1,1,0.54,2853.815,0.82,2853.815,0.78,2853.815,0.92,3161,0,4593.236999999999,0,1814.96,1,0.0005366919034786081,1,219.041,0.14,12423.848,1,1,0.32,5029.672999999998,581.3223,1,0,0.02,14222,110,28,33,6,2394,67,35,27,18,1,0,1451544,7943.754999999905,10842,https://www.archives.gov/research/native-americans,www.archives.gov,/research/native-americans
230831_BiDc09_DWA,https://www.archives.gov/research/native-americans,https://www.webpagetest.org/results.php?test=230831_BiDc09_DWA,3G,1600,768,300,1693515183,1,1,0.59,2730.571,0.3,4833.024,0.76,2958.226,0.92,3187,0,4735.027999992371,0,1820.77,0.98,0.059378177502817424,1,218.45899999999995,0.13,12960.152999992371,1,1,0.29,5324.069999999996,573.005,1,0,0.02,13881,110,28,33,6,2155,70,34,26,18,1,0,1451301,8285.109000000064,10832,https://www.archives.gov/research/native-americans,www.archives.gov,/research/native-americans
230831_BiDcPK_DVN,https://www.archives.gov/education,https://www.webpagetest.org/results.php?test=230831_BiDcPK_DVN,3G,1600,768,300,1693515206,1,1,0.51,2941.091,0,12166.424,0.76,2941.091,0.32,7052,0,13142.756999999998,0,8788.538,1,0.0014603321331259377,1,212.312,0,24231.114,1,0,0.03,14765.295999999997,497.0339999999998,1,1,0.02,14254,146,44,33,6,3651,115,59,39,23,2,1.1038000000000001,3268124,18560.545000000813,9628,https://www.archives.gov/education,www.archives.gov,/education
230831_BiDcR9_DWB,https://www.archives.gov/research/catalog,https://www.webpagetest.org/results.php?test=230831_BiDcR9_DWB,3G,1600,768,300,1693515186,1,1,0.59,2732.103,0.85,2732.103,0.05,7912.45,0.93,3076,0,5822.149999999997,0,2069.208,1,0.005888557475553569,1,212.87399999999997,0.05,16227.679,1,1,0.19,6957.217999999999,377.06770000000006,1,1,0.02,14511,119,32,33,6,2654,83,43,29,20,2,0,1811558,9689.769000000075,9868,https://www.archives.gov/research/catalog,www.archives.gov,/research/catalog
230831_BiDcVZ_DVZ,https://www.archives.gov/research,https://www.webpagetest.org/results.php?test=230831_BiDcVZ_DVZ,3G,1600,768,300,1693515193,1,1,0.54,2861.897,0.13,5952.137,0.78,2861.897,0.3,7223,0,5155.691000000007,0,2177.469,0.22,0.4281333961022542,1,215.42699999999996,0.08,14554.111,1,1,0.23,6220.905999999999,570.4839999999999,1,0,0.02,13868,135,35,33,6,3293,97,49,34,21,1,0,1697333,9962.897000000192,11005,https://www.archives.gov/research,www.archives.gov,/research
230831_BiDcZ3_E6C,https://www.archives.gov/research/catalog,https://www.webpagetest.org/results.php?test=230831_BiDcZ3_E6C,3G,1600,768,300,1693516375,1,1,0.55,2842.367,0.82,2842.367,0.07,7239.923,0.91,3268,0,5646.025999999999,0,1426.225,1,0,1,213.97999999999996,0.05,16488.533,1,1,0.18,7009.618999999999,453.02009999999996,1,1,0.02,13877,119,32,33,6,2547,91,43,33,23,3,0,1809566,9822.517000000034,9869,https://www.archives.gov/research/catalog,www.archives.gov,/research/catalog
230831_BiDcZC_DWR,https://www.archives.gov/research/native-americans/research-individual,https://www.webpagetest.org/results.php?test=230831_BiDcZC_DWR,3G,1600,768,300,1693515181,1,1,0.5,2979.942,0.78,2979.942,0.75,2979.942,0.89,3389,0,4604.403000000002,0,2320.369,0.89,0.10197242919636636,1,214.07300000000004,0.13,12834.588,1,1,0.27,5618.8939999999975,510.4292,0,1,0.02,13876,114,28,33,7,2344,91,38,25,15,1,0,1578533,8454.171999999966,10194,https://www.archives.gov/research/native-americans/research-individual,www.archives.gov,/research/native-americans/research-individual
230831_AiDcTD_E04,https://www.blacktimebelt.net/nicodemus,https://www.webpagetest.org/results.php?test=230831_AiDcTD_E04,3G,1600,768,300,1693516393,1,1,0.99,1196.18,0.16,5748.178,0.42,4331.741,0.87,3609,0.8,291.4089999923697,0.02,694.988,1,0.000794677734375,1,176.27300000000002,0.72,5393.273999992371,0,1,0.44,3915.5319999999974,7410.904500000001,1,1,1,0,95,38,0,6,3652,127,56,24,5,1,0,2741359,7348.1590000000015,110287,https://www.blacktimebelt.net/nicodemus,www.blacktimebelt.net,/nicodemus
